district,month,total_all,z_pct,iso_score,resid_z,z_anom,iso_anom,resid_anom
Ahmedabad,2025-11-01,76988.0,2.531276738141996,0.0,1.0649447711094753,True,False,False
Ambala,2025-11-01,13297.0,2.57672203718609,0.0,0.6939439337888755,True,False,False
Anugul,2025-09-01,922.0,2.74260100069264,0.0,1.8442894981781157,True,False,False
Araria,2025-09-01,56494.0,2.6567059756100755,0.0,2.0229667503240463,True,False,False
Bagalkot *,2025-07-01,250.0,2.5283140273178533,0.0,0.9072551542350293,True,False,False
Bageshwar,2025-11-01,4407.0,2.6542279164973848,0.0,1.6587473777341901,True,False,False
Baleshwar,2025-09-01,6931.0,2.7366335051388715,0.0,1.6085759486601434,True,False,False
Banka,2025-09-01,31965.0,2.5736089071909163,0.0,1.8915037475156473,True,False,False
Bapatla,2025-05-01,2365.0,2.7361335063741334,0.0,0.8174314041741586,True,False,False
Barabanki,2025-07-01,2381.0,2.787600547405358,0.0,1.8572458211850529,True,False,False
Barnala,2025-04-01,3763.0,-2.612742831078175,0.0,-1.8625218569123507,True,False,False
Bhojpur,2025-09-01,59709.0,2.707094185081122,0.0,2.1542202040809926,True,False,False
Bishnupur,2025-07-01,9829.0,2.7291521268028784,0.0,0.22854893316867453,True,False,False
Biswanath,2025-09-01,3317.0,2.767727416396094,0.0,2.164646021544664,True,False,False
Bongaigaon,2025-07-01,9509.0,2.737579099251429,0.0,1.9657053977927272,True,False,False
Boudh,2025-09-01,5148.0,2.5678646340336577,0.0,2.0718430977880984,True,False,False
Champhai,2025-06-01,2611.0,2.5195404688445686,0.0,2.147579415461943,True,False,False
Changlang,2025-09-01,4049.0,2.554508581175284,0.0,2.180544902742772,True,False,False
Chatrapati Sambhaji Nagar,2025-07-01,2633.0,2.7037417638834715,0.0,1.6149750153833302,True,False,False
Chengalpattu,2025-09-01,3925.0,2.698353993060861,0.0,1.5350484512252989,True,False,False
Chikmagalur,2025-09-01,429.0,2.5271036196994974,0.0,1.786889730945277,True,False,False
Cooch Behar,2025-09-01,38959.0,2.7447882297016184,0.0,2.4038472782406886,True,False,False
Darjiling,2025-09-01,2653.0,2.690908116760154,0.0,1.3878214186388755,True,False,False
Darrang,2025-09-01,10681.0,2.6658359462550703,0.0,2.187905764987244,True,False,False
Dharashiv,2025-09-01,732.0,2.7786689822911166,0.0,1.9020810887554485,True,False,False
Doda,2025-10-01,6515.0,2.535625476026756,0.0,1.6106518501684408,True,False,False
Durg,2025-11-01,48234.0,2.6909946002408054,0.0,1.4822007850528087,True,False,False
East Champaran,2025-09-01,80570.0,2.544967623109952,0.0,1.9804967365803885,True,False,False
East Kameng,2025-09-01,1475.0,2.7241187210385247,0.0,2.366514201399968,True,False,False
East Siang,2025-09-01,1054.0,2.6233781302781285,0.0,1.1299645913302554,True,False,False
Eluru,2025-09-01,3333.0,2.58793739670005,0.0,0.01616603933744293,True,False,False
Gadag *,2025-09-01,420.0,2.5793368219692607,0.0,1.2817801043198822,True,False,False
Gandhinagar,2025-11-01,13571.0,2.528189932882221,0.0,0.5615346504442302,True,False,False
Gautam Buddha Nagar,2025-07-01,47484.0,2.5138771565929208,0.0,1.6373175727824352,True,False,False
Ghaziabad,2025-11-01,57175.0,2.5833590344290958,0.0,1.3790164702368184,True,False,False
Goalpara,2025-07-01,12181.0,2.795496009749544,0.0,1.0462432086239948,True,False,False
Gomati,2025-11-01,4257.0,2.5564554797075156,0.0,1.077379629563111,True,False,False
Hanumakonda,2025-09-01,6196.0,2.7450597023400927,0.0,1.4197247679116518,True,False,False
Haveri *,2025-09-01,381.0,2.602009211034156,0.0,1.9947954632895128,True,False,False
Hojai,2025-07-01,8451.0,2.7160707028850206,0.0,2.012136431453043,True,False,False
Imphal East,2025-07-01,22188.0,2.7800768114860444,0.0,0.9222583439552775,True,False,False
Imphal West,2025-07-01,18970.0,2.5013640558317616,0.0,0.3901234214409613,True,False,False
Jagitial,2025-09-01,4761.0,2.6086204162578404,0.0,1.6408979283428806,True,False,False
Jalpaiguri,2025-09-01,66654.0,2.701997977817767,0.0,1.7341214077458218,True,False,False
Jayashankar Bhupalpally,2025-09-01,3929.0,2.777084135349904,0.0,1.1908511052206772,True,False,False
Jehanabad,2025-09-01,18114.0,2.6520379691172242,0.0,1.4046884566832187,True,False,False
Jhargram,2025-09-01,2526.0,2.662420585899734,0.0,1.6681829126491339,True,False,False
Jhunjhunu,2025-09-01,985.0,2.785003604511612,0.0,2.1160456630134843,True,False,False
Jiribam,2025-07-01,492.0,2.5902346194542183,0.0,0.18592909332534874,True,False,False
Jogulamba Gadwal,2025-05-01,3612.0,2.6342929885058046,0.0,-0.5620013767452239,True,False,False
Kaimur (Bhabua),2025-09-01,28445.0,2.536678559712365,0.0,1.5623942339802233,True,False,False
Kakching,2025-07-01,786.0,2.8054565792139785,0.0,1.876687446366444,True,False,False
Kakinada,2025-05-01,5846.0,2.6808969024278864,0.0,1.7330370088753257,True,False,False
Kallakurichi,2025-09-01,2089.0,2.627301640524016,0.0,0.9705701682870045,True,False,False
Kamrup,2025-07-01,10330.0,2.562266711674292,0.0,-0.27009490072386755,True,False,False
Karbi Anglong,2025-09-01,14381.0,2.7734788434429873,0.0,1.1785242176769688,True,False,False
Kasaragod,2025-11-01,14129.0,2.501963559511071,0.0,2.114910923895997,True,False,False
Kasargod,2025-09-01,779.0,2.5406372154603383,0.0,0.8806736261142919,True,False,False
Katihar,2025-09-01,67537.0,2.509275691208289,0.0,2.0173189574258625,True,False,False
Kishanganj,2025-09-01,78019.0,2.5060504638710808,0.0,2.153300293689408,True,False,False
Koch Bihar,2025-09-01,21349.0,2.8148302836699868,0.0,1.2235098013397565,True,False,False
Kolhapur,2025-11-01,89465.0,2.51131846281896,0.0,2.202936956338886,True,False,False
Kondagaon,2025-06-01,45556.0,2.7794633266481603,0.0,2.5544876191698105,True,False,False
Kushinagar,2025-07-01,44110.0,2.6693446253379958,0.0,1.6929013699456303,True,False,False
